thread_id,created_at,n_turns,customer_opening,first_brand_reply,transcript,reply_is_handoff
1131460,2017-08-15 12:20:02+00:00,3,great customer service provided by gate agent (female dark hair) for flight DL2113 to SLC went out of her way to help a Dad &amp; Son....,...positive note! *TBW 2/2,CUSTOMER: @user great customer service provided by gate agent (female dark hair) for flight DL2113 to SLC went out of her way to help a Dad &amp; Son.... CUSTOMER: @user On the road again...It was Ariana Meza...please take time and recognize her for outstanding service...👏🏽👏🏽👏🏽 BRAND: @user ...positive note! *TBW 2/2,False
262522,2017-08-28 12:02:37+00:00,6,This link was nonsense. I haven't heard from anyone @user after bumping me back to coach with no explanation. <URL>,I can check on the resevration. *HPL <URL>,"CUSTOMER: This link was nonsense. I haven't heard from anyone @user after bumping me back to coach with no explanation. <URL> BRAND: @user I can check on the resevration. *HPL <URL> CUSTOMER: @user Finally got a call about this. Of course it was while I was at work...VM said you would call back &amp; you never did, no callback number left BRAND: @user Hi jaime. I am so sorry to hear that you missed your call. Did you try dialing that number back to see if you could reach someone? *HSD CUSTOMER: @user Yes. It took me to the main customer service number automated service. I couldn't reach anyone. BRAND: @user I've located the old reservation. How can I be of assistance? I did read the thread back into August. Please DM me. Thanks. *TMS... 1/2",False
1577130,2017-08-31 19:38:31+00:00,13,the most shocking service ever No response after 30days of a complaint!!!!!! Poor customer service,"Hi, Sheenal, Sorry to hear. Our goal is to provide an exemplary level of customer service.","CUSTOMER: @user the most shocking service ever No response after 30days of a complaint!!!!!! Poor customer service BRAND: @user Hi, Sheenal, Sorry to hear. Our goal is to provide an exemplary level of customer service. *TSB CUSTOMER: @user You have not answered my query will you be dealing with my complaint of the 30.7.17??? BRAND: @user Hi. Please share your case number. We will reach out to our Customer Care team. *AMR CUSTOMER: @user Case number 00019505 email sent 31st July 2017 I await your response and refund for my lost stroller BRAND: @user Where was the claim filed? Did you file it online or at the Airport? *HDV CUSTOMER: @user At the airport and online please can I have an update I had to purchase a new stroller and have sent my receipt await your response BRAND: @user Hello, Sheenal. Did you file a claim with our Baggage office? *HYC CUSTOMER: @user @user I am still waiting for your complaints team to respond. Are you or your team looking into my complaint? BRAND: @user Please allow 30 to 45 days for a response for our corporate customer care team. *AMS CUSTOMER: @user @user my complaint was made on the 31st July 30 days have passed !!! And you have 2days left to reach 45days afterwich a resolution to it BRAND: @user I do understand your frustration. Please your e-mail address via this link: *HKC <URL> CUSTOMER: @user 3months and still no result to my email sent 31.07.17. shocking service from Delta Do NoT TrAvel with Delta @user @user",False
642928,2017-09-04 22:49:06+00:00,3,On 08/11/17 I sent a private message on Twitter out of courtesy on my awful experience. Flight 783 LAX-GDL. No reply,Oh no! Do you need their phone number so that you are able to speak to someone directly?,CUSTOMER: @user @user On 08/11/17 I sent a private message on Twitter out of courtesy on my awful experience. Flight 783 LAX-GDL. No reply CUSTOMER: @user Aeromexico reaches out about a week ago asked for my ticket number Haven’t heard back from them or why the plane was infested with mosquitos BRAND: @user Oh no! Do you need their phone number so that you are able to speak to someone directly?,False
2478503,2017-09-21 21:50:20+00:00,3,I was disappointed that even though I was #1 on the upgrade list my seat was given to someone else behind me on the list,Hi Matt. I am so sorry! Please DM your confirmation number. I'll do my best to help. *TMS <URL>,CUSTOMER: @user I was disappointed that even though I was #1 on the upgrade list my seat was given to someone else behind me on the list BRAND: @user Hi Matt. I am so sorry! Please DM your confirmation number. I'll do my best to help. *TMS <URL> CUSTOMER: @user Go own,True
848381,2017-09-22 12:53:53+00:00,4,"1st flight with Kaylee! San Diego, here we come! 😊😁😉#HoPeBaby #FirstFlight #GiveMeWings #HoPeFamily @user <URL>",Nice having you and the newest member of the Delta family on board. Enjoy your flight:-),"CUSTOMER: 1st flight with Kaylee! San Diego, here we come! 😊😁😉#HoPeBaby #FirstFlight #GiveMeWings #HoPeFamily @user <URL> BRAND: @user Nice having you and the newest member of the Delta family on board. Enjoy your flight:-) *HPL CUSTOMER: @user Thank you @user ! BRAND: @user You are very welcome!",False
393523,2017-09-23 00:02:23+00:00,6,third straight flight with mishap dtw to providence 1 hr delay announced only after boarding blanket shortage lax to dtw on redeye,Please forward your confirmation #.,"CUSTOMER: @user third straight flight with mishap dtw to providence 1 hr delay announced only after boarding blanket shortage lax to dtw on redeye BRAND: @user Please forward your confirmation #. *AMS CUSTOMER: @user H7EOCK Brand new silver Do you need the other flight #'s BRAND: @user For the Delay, I can offer you 1000 Bonus SkyMiles. *AMS CUSTOMER: @user Was this provided yet? BRAND: @user I issued a 1,000 SkyMile voucher per the past conversation in this thread. I do not see that anything was yet issued for the flights",False
1983346,2017-09-25 09:54:43+00:00,3,Trying to figure out why I haven't got TSA Pre Check on @user in over a year. Number is saved in my profile....,"Hi, Tony. I'm sure that's frustrating. TSA manages that process. Here's the link to check on this with TSA. <URL>","CUSTOMER: Trying to figure out why I haven't got TSA Pre Check on @user in over a year. Number is saved in my profile.... BRAND: @user Hi, Tony. I'm sure that's frustrating. TSA manages that process. Here's the link to check on this with TSA. <URL> *ALY CUSTOMER: @user Thank you @user but they say it's you guys. When I fly United, American, or Southwest, I get Pre check.....",False
627206,2017-09-26 10:37:30+00:00,5,"please explain how my connecting flight to SJU got moved up 3hrs, from 9:46am to 5:50am, and I landed at 6:11am. #StuckInATL",Hi there. We certainly apologize about any inconveniences. Has a protection flight been offered to you?,"CUSTOMER: @user please explain how my connecting flight to SJU got moved up 3hrs, from 9:46am to 5:50am, and I landed at 6:11am. #StuckInATL BRAND: @user Hi there. We certainly apologize about any inconveniences. Has a protection flight been offered to you? *TAS CUSTOMER: @user Yes, after explaining that my mother, who is terminally ill with metastatic colon cancer in her lungs had said lungs collapsed yesterday... CUSTOMER: @user You guys can help get me, my family and my mother's remains off this island. How is it that the earliest flight out is the 22nd of October? BRAND: @user Hi there, I'm so very sorry to hear of your loss, I will keep you and your family in my thoughts and prayers. I understand your... 1/3",False
1146472,2017-09-29 14:26:03+00:00,8,"<URL> @user after reading this article, what is the point of loyalty to your airline? Or is there one?",We're definitely growing and changing in all the right ways. And will continue to do so!,"CUSTOMER: <URL> @user after reading this article, what is the point of loyalty to your airline? Or is there one? CUSTOMER: @user @user still waiting..... BRAND: @user We're definitely growing and changing in all the right ways. And will continue to do so! *TAC CUSTOMER: @user Does that include dodging questions you don’t want to answer? This response doesn’t even pretend to address the subject BRAND: @user I am sorry that you feel that way. Please, use this link to address your feedback: <URL> *AFM CUSTOMER: @user So instead of answering my question, you are sending me somewhere else to ask it again? That’s some crappy customer service if you ask me BRAND: @user We're not sending you off, we're directing you to the proper channel to get your question/feedback acknowledged and answered. *ABN CUSTOMER: @user Finally got a reply today and was told “I can’t answer your question”. I guess that means there is no benefit to Delta loyalty.",False
178760,2017-10-01 18:10:31+00:00,8,"Injured by a TV at 35,000 feet--when your @user flight goes massively wrong. #flying #Delta #flight <URL>",Oh my! Are you alright? What happened?,"CUSTOMER: Injured by a TV at 35,000 feet--when your @user flight goes massively wrong. #flying #Delta #flight <URL> BRAND: @user Oh my! Are you alright? What happened? *TAC CUSTOMER: @user On top of the injury, haven't heard back from @user BRAND: @user Hello, Rebecca. Sorry to hear. Was a report filed concerning this experience? *ARD CUSTOMER: @user .@user still hasn't returned my call. After waiting at the gate I was told the flight crew was filing a report, but they had 24 hours. 👎🏻 BRAND: @user Hi Rebecca, how may I assist you? I am so sorry no one has responded. *TJM CUSTOMER: @user It would help if someone from @user called me back. If you somehow can't find a record of the accident, dm for my mobile. BRAND: @user Please follow/DM.",False
437854,2017-10-01 21:44:37+00:00,3,I get off the plane in Albany and my car seat bag is destroyed and @user @user assistance is to suggest maybe you can wash it. 🤣 <URL>,"Hi Jamey, I'm very sorry to hear about that!","CUSTOMER: I get off the plane in Albany and my car seat bag is destroyed and @user @user assistance is to suggest maybe you can wash it. 🤣 <URL> BRAND: @user Hi Jamey, I'm very sorry to hear about that! *HRS CUSTOMER: @user I still haven’t heard back from anyone at Delta over a week later. I did fill-out form online as well.",False
440206,2017-10-02 01:13:46+00:00,3,complaint # 00107402 from 8/25/17 ....still no response ??!!!!,"Hello Denise, please allow 30 to 45 days for a response from our Customer Care Team.","CUSTOMER: @user complaint # 00107402 from 8/25/17 ....still no response ??!!!! BRAND: @user Hello Denise, please allow 30 to 45 days for a response from our Customer Care Team. *AMS CUSTOMER: @user Still waiting!!!!?????",False
225587,2017-10-03 15:34:28+00:00,4,hope you're part of that plan! Add new flights to COS! Hopefully from MSP or DTW...it's a Skywest hub too! <URL>,"Hi Kelly, we appreciate your feedback, I do hope we can serve you this way in the future!","CUSTOMER: @user hope you're part of that plan! Add new flights to COS! Hopefully from MSP or DTW...it's a Skywest hub too! <URL> BRAND: @user Hi Kelly, we appreciate your feedback, I do hope we can serve you this way in the future! *HES CUSTOMER: @user Great! Make sure your scheduling team sees this! BRAND: @user Thank you for tweeting us.",False
623314,2017-10-03 19:59:39+00:00,4,and male gate agent was kind of a jerk dl4975 out of Houston,Hi. My apologies for the seat change and our coworker behavior. I expect all employees to be helpful &amp; professional at all times.,CUSTOMER: @user and male gate agent was kind of a jerk dl4975 out of Houston BRAND: @user Hi. My apologies for the seat change and our coworker behavior. I expect all employees to be helpful &amp; professional at all times. *HJH CUSTOMER: @user I just don't understand the need to change a seat unless requested. All is good in the end BRAND: @user Thanks for your understanding. Have a great day!,False
189500,2017-10-04 04:12:07+00:00,4,baffles me. I am beyond frustrated with them. Their standby/change guidelines are ludicrous. It is cheaper for me to book a one way,...changes. *ALA 2/2,"CUSTOMER: @user baffles me. I am beyond frustrated with them. Their standby/change guidelines are ludicrous. It is cheaper for me to book a one way BRAND: @user ...changes. *ALA 2/2 CUSTOMER: @user Yup. I deleted the tweets for a reason. You guys came through. It took a few calls to get someone that new how to get it done. BRAND: @user That is great to hear, Mike.",False
189516,2017-10-04 05:12:00+00:00,2,Arrived safely via @user to beautiful @user thank you @user for the #opportunity #Skyline view for the #month ahead <URL>,Thanks for sharing this cool pic!,CUSTOMER: Arrived safely via @user to beautiful @user thank you @user for the #opportunity #Skyline view for the #month ahead <URL> BRAND: @user Thanks for sharing this cool pic!,False
189488,2017-10-04 06:54:41+00:00,2,can I use club at AMS?,"Hi, Ralph. Which club are you inquiring about? DM us your confirmation number via this link. *ALA <URL>","CUSTOMER: @user can I use club at AMS? BRAND: @user Hi, Ralph. Which club are you inquiring about? DM us your confirmation number via this link. *ALA <URL>",True
189486,2017-10-04 07:01:31+00:00,2,"Before take off, our pilot is walking down the aisle talking to everybody and shaking hands, very interesting......@user","We hope you enjoy your flight, Annetra!","CUSTOMER: Before take off, our pilot is walking down the aisle talking to everybody and shaking hands, very interesting......@user BRAND: @user We hope you enjoy your flight, Annetra!",False
189480,2017-10-04 09:12:25+00:00,2,I have to commend @user for their service. So accommodating during a difficult time flying from Las Vegas to NYC on Sunday. Thank you 👏🏼,"We are here to assist, Nikki.","CUSTOMER: I have to commend @user for their service. So accommodating during a difficult time flying from Las Vegas to NYC on Sunday. Thank you 👏🏼 BRAND: @user We are here to assist, Nikki.",False
189478,2017-10-04 09:13:46+00:00,2,"Please Help. I need to sort out a problem with my flights, I’ve emailed and had no response, called on many occasions but either been cut off or you can’t / won’t deal with it #desperate","Hello, Darrell. How can we help?","CUSTOMER: @user Please Help. I need to sort out a problem with my flights, I’ve emailed and had no response, called on many occasions but either been cut off or you can’t / won’t deal with it #desperate BRAND: @user Hello, Darrell. How can we help?",False
181614,2017-10-04 10:10:09+00:00,2,"Welp Toronto, it's been real. See you in a couple of weeks. @user Thanks for the ride home.... YYZ↗️MSP↘️ ✈️ <URL>",Thank you for the cool pic!,"CUSTOMER: Welp Toronto, it's been real. See you in a couple of weeks. @user Thanks for the ride home.... YYZ↗️MSP↘️ ✈️ <URL> BRAND: @user Thank you for the cool pic!",False
181524,2017-10-04 10:18:36+00:00,4,you have made this trip difficult. I book my trip 7 months in advance and you change my seat and not let me carry on a bag. #loyalty,I regret the frustration we've caused you.,CUSTOMER: @user you have made this trip difficult. I book my trip 7 months in advance and you change my seat and not let me carry on a bag. #loyalty BRAND: @user I regret the frustration we've caused you. *TDH CUSTOMER: @user Watching everyone else carry on their bag and having the rude attendant tell me I can't...when i have a flight to catch BRAND: @user Oh no. Please share the flight number.,False
181470,2017-10-04 10:28:27+00:00,6,#DeltaAirlines Left briefcase on plane. Told to fill out form. They’re NOT looking 4 it.,"James, sorry to hear about your briefcase! Can you DM your Lost &amp; Found Claim number?","CUSTOMER: @user #DeltaAirlines Left briefcase on plane. Told to fill out form. They’re NOT looking 4 it. BRAND: @user James, sorry to hear about your briefcase! Can you DM your Lost &amp; Found Claim number? *HKM CUSTOMER: @user I recd 2-1314238 &amp; 1314237 BRAND: @user Thanks. Also, can you send the flt # and date the case was left and a good phone contact for yourself for today? *HKM CUSTOMER: @user Sept 28 2017 BRAND: @user Thanks so much. I'll get this info over right away.",True
181478,2017-10-04 11:25:57+00:00,2,"Oh @user it’s scheduled boarding time for DL3514 at BNA and there’s no agent at gate, nor any functioning signage.",Oh no! Let me check further. Thank you.,"CUSTOMER: Oh @user it’s scheduled boarding time for DL3514 at BNA and there’s no agent at gate, nor any functioning signage. BRAND: @user Oh no! Let me check further. Thank you.",False
181483,2017-10-04 12:27:12+00:00,4,"Seems to be a lot of @user crew members hopping on this flight. Just wish ""Blane"" had not cut in front of me to get on first. #manners",Oh goodness. I'm sorry for that experience.,"CUSTOMER: Seems to be a lot of @user crew members hopping on this flight. Just wish ""Blane"" had not cut in front of me to get on first. #manners BRAND: @user Oh goodness. I'm sorry for that experience. *ALY CUSTOMER: @user I was literally right behind him as we entered the plane.He even turned around to tell me he had to go further to store his luggage.#noclue BRAND: @user I wish to express my sincere apology. Thank you for sending in your feedback as it will be reported to our leadership team.",False
178849,2017-10-04 13:39:11+00:00,2,I thought military was valued 🙄,Hi Maddy. What's going on? Pls follow/DM details.,CUSTOMER: @user I thought military was valued 🙄 BRAND: @user Hi Maddy. What's going on? Pls follow/DM details.,True
178792,2017-10-04 13:48:22+00:00,2,Big Texas-sized thanks to @user @user gate agent Bruce Cochran for helping me snag a #standby seat on 2 flights(!) #giddyup #ona17,"Hi Steve, thanks for the kind words about our Gate Agent, Bruce! :-)","CUSTOMER: Big Texas-sized thanks to @user @user gate agent Bruce Cochran for helping me snag a #standby seat on 2 flights(!) #giddyup #ona17 BRAND: @user Hi Steve, thanks for the kind words about our Gate Agent, Bruce! :-)",False
178781,2017-10-04 14:07:13+00:00,2,with engine issues on flight DL1616 my connection in Atlanta is looking hairy. Any suggestions on getting to Boston?,"Hi James, thanks for contacting us.","CUSTOMER: @user with engine issues on flight DL1616 my connection in Atlanta is looking hairy. Any suggestions on getting to Boston? BRAND: @user Hi James, thanks for contacting us.",False
180708,2017-10-04 14:10:56+00:00,2,enjoyed meeting a tech ops crew member who came to LIT to repair a plane. Thank you for keeping the planes safe/operable!,Thank you for flying with us! Have a wonderful day! 😊,CUSTOMER: @user enjoyed meeting a tech ops crew member who came to LIT to repair a plane. Thank you for keeping the planes safe/operable! BRAND: @user Thank you for flying with us! Have a wonderful day! 😊,False
178796,2017-10-04 14:15:59+00:00,2,On my way to @user conference on @user,Have a great trip Maria! Thanks so much for flying with us.,CUSTOMER: On my way to @user conference on @user BRAND: @user @user Have a great trip Maria! Thanks so much for flying with us.,False
178736,2017-10-04 14:48:08+00:00,2,Another reason to love @user - the only airline we use for domestic flights. <URL>,"Hi, Celeste, thank you for the kudos. We're happy to be your preferred ride in the sky.","CUSTOMER: Another reason to love @user - the only airline we use for domestic flights. <URL> BRAND: @user Hi, Celeste, thank you for the kudos. We're happy to be your preferred ride in the sky.",False
200743,2017-10-04 15:00:21+00:00,4,Make vacation messages stick with Delta Vacations iOS 10 iMessage stickers - now in the Delta Travel Stickers App! <URL> <URL>,"Hello Marsha! My apologies, but I didn't understand your last message. How may I assist you today?","CUSTOMER: Make vacation messages stick with Delta Vacations iOS 10 iMessage stickers - now in the Delta Travel Stickers App! <URL> <URL> CUSTOMER: @user @user &amp; Android, what about us?? BRAND: @user Hello Marsha! My apologies, but I didn't understand your last message. How may I assist you today? *HAN CUSTOMER: @user @user Any sticker / Facebook pack for Android!? Been waiting for years!",False
178717,2017-10-04 15:12:30+00:00,4,we thought the hour flight delay was bad enough until we got to baggage claim and we are over an hour waiting for bags...3894,"Hi Debra, I'm very sorry your bags took so long to arrive at the belt. That is unacceptable. 1/2","CUSTOMER: @user we thought the hour flight delay was bad enough until we got to baggage claim and we are over an hour waiting for bags...3894 BRAND: @user Hi Debra, I'm very sorry your bags took so long to arrive at the belt. That is unacceptable. 1/2 *TJW CUSTOMER: @user Customer service was very pleasant ... they tried finding someone to get them an answer ....definitely unusual BRAND: @user Hi, Debra! Thanks for sharing this. We appreciate your feedback!",False
201196,2017-10-04 15:12:53+00:00,3,.@user employee breast cancer survivors kicked off #BreastCancerAwarenessMonth on the 'Breast Cancer One' flight <URL> <URL>,"Delta loves yo, Sharon! ❤","CUSTOMER: .@user employee breast cancer survivors kicked off #BreastCancerAwarenessMonth on the 'Breast Cancer One' flight <URL> <URL> CUSTOMER: @user @user Love 💕you all!!!! BRAND: @user Delta loves yo, Sharon! ❤",False
178770,2017-10-04 15:16:12+00:00,4,I'm an Executive Member of Sky Club. May I use a lounge at a domestic airport if I'm not flying Delta that day?,Hi John. Delta Sky Club Members can only use the Club in conjunction with same-day ticketed air travel.,"CUSTOMER: @user I'm an Executive Member of Sky Club. May I use a lounge at a domestic airport if I'm not flying Delta that day? BRAND: @user Hi John. Delta Sky Club Members can only use the Club in conjunction with same-day ticketed air travel. *ALS CUSTOMER: @user Rats. Thanks! BRAND: @user On behalf of *ALS, you are very welcome. Have a wonderful day!",False
202843,2017-10-04 15:37:38+00:00,4,Hi @user do your FAs have first flight certificates on board? Starting on a Skywest flight and connecting to a mainline.,"Hi, great question! Our flight attendants have wings for first time flyers but no certificates. I'm very sorry.","CUSTOMER: Hi @user do your FAs have first flight certificates on board? Starting on a Skywest flight and connecting to a mainline. BRAND: @user Hi, great question! Our flight attendants have wings for first time flyers but no certificates. I'm very sorry. *TJW CUSTOMER: @user No worries! I’m pretty handy with photoshop 🙂 BRAND: @user Awesome! Have a great day.",False
202886,2017-10-04 15:38:05+00:00,3,had great consumer service this morning @user ! Thanks Mr. J Good!,You are welcome!,CUSTOMER: @user had great consumer service this morning @user ! Thanks Mr. J Good! CUSTOMER: @user @user That’s great to hear! We’ll be sure to recognize agent Good. Enjoy your travels! BRAND: @user You are welcome!,False
202880,2017-10-04 15:42:19+00:00,2,I appreciate them calling me back a month later 2 talk about a complaint but really @user I don't need 7 urgent calls..it's not even urgent,I am so sorry and have forwarded your comments to Customer Care. Thank you for your patience.,CUSTOMER: I appreciate them calling me back a month later 2 talk about a complaint but really @user I don't need 7 urgent calls..it's not even urgent BRAND: @user I am so sorry and have forwarded your comments to Customer Care. Thank you for your patience.,False
202876,2017-10-04 16:00:00+00:00,2,Flying to SJU on Oct 7. Bringing ONLY relief supplies - will the baggage waiver still be in effect?,"Hi, Betsy. Pls DM your conf # so I may check on this for you.","CUSTOMER: @user Flying to SJU on Oct 7. Bringing ONLY relief supplies - will the baggage waiver still be in effect? BRAND: @user Hi, Betsy. Pls DM your conf # so I may check on this for you.",True
